DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Burmese	nucl1310	1402	BREAST	11	nui	574	n u i	
Lhasa Tibetan	tibe1272	1402	BREAST	11	o¹³_ma⁵⁵_EE	574	o ¹³ _ m a ⁵⁵ _	
Kusunda	kusu1250	1402	BREAST	82	mbo	0	m b o	
Geker	geko1235	141	BURN (SOMETHING)	12	ḍʒuʔ⁵³_kæʔ⁵	51	ɖʐ u ʔ ⁵³ _ k æ ʔ ⁵	Geko Karen?
Geba	geba1237	141	BURN (SOMETHING)	12	b̄o⁴⁴_kəla³³	171	b̄ o ⁴⁴ _ k ə l a ³³	
Lijiang-Naxi	lich1241	141	BURN (SOMETHING)	12	khɨ⁵⁵	300	kʰ ɨ ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	141	BURN (SOMETHING)	12	phu⁴²	550	pʰ u ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	141	BURN (SOMETHING)	12	der	35	d e r	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	141	BURN (SOMETHING)	12	d̄wɛʔ⁵³_ʔu⁴⁴	35	d̄ w ɛ ʔ ⁵³ _ ʔ u ⁴⁴	
Lhota	loth1237	141	BURN (SOMETHING)	12	roːŋ	591	r oː ŋ	Naga Lotha
Tujia	nort2732	141	BURN (SOMETHING)	12	ta¹	551	t a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	141	BURN (SOMETHING)	12	shu⁵⁵_mi⁴⁴	53	sʰ u ⁵⁵ _ m i ⁴⁴	Yintale Karen
Pa'O	paok1235	141	BURN (SOMETHING)	12	kho⁵⁵	300	kʰ o ⁵⁵	
W. Kayah	west2409	141	BURN (SOMETHING)	12	i¹¹_shɨ⁵⁵	53	i ¹¹ _ sʰ ɨ ⁵⁵	Kayah Western
Written Tibetan	tibe1272	141	BURN (SOMETHING)	12	ãbar	483	ã ∼ b a r	
Ninglang-Naxi	naxi1245	141	BURN (SOMETHING)	12	ka¹³	300	k a ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	141	BURN (SOMETHING)	12	aroŋ	591	a r o ŋ	Naga Ao
Garo	garo1247	141	BURN (SOMETHING)	12	so-a	51	s o + a	
Manu	manu1255	141	BURN (SOMETHING)	12	ʃho¹¹	53	ʃʰ o ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	141	BURN (SOMETHING)	12	cụ²²_kại²²	51	ts ṵ ²² _ k a̰ i ²²	Yinbaw Karen
Ao-Mongsen	mong1332	141	BURN (SOMETHING)	12	ruŋ	591	r u ŋ	Naga Ao
Yimchunrü	yimc1240	141	BURN (SOMETHING)	12	atak	551	a t a k	Naga Yimchungru
Burmese	nucl1310	141	BURN (SOMETHING)	12	miː_hrui	593	m iː _ h r u i	
Lhasa Tibetan	tibe1272	141	BURN (SOMETHING)	12	par¹³_EE	483	p a r ¹³ _	
Nishi	nisi1238	2128	CLAW OR NAIL	13	ləsiŋ	106	l ə s i ŋ	Nisi?
Geker	geko1235	2128	CLAW OR NAIL	13	ḍʒɨ¹¹_mə⁴⁴_b	315	ɖʐ ɨ ¹¹ _ m ə ⁴⁴ _ b	Geko Karen?
Geba	geba1237	2128	CLAW OR NAIL	13	kəsɨ³³ṭi⁴⁴_mi	315	k ə s ɨ ³³ ʈ i ⁴⁴ _ m i	
Lijiang-Naxi	lich1241	2128	CLAW OR NAIL	13	_cɨ³¹	106	ts ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	2128	CLAW OR NAIL	13	_sə⁴⁴	106	s ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	2128	CLAW OR NAIL	13	chiŋ_naŋ	106	tsʰ i ŋ _ n a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	2128	CLAW OR NAIL	13	mẽʔ⁵³	315	m ẽ ∼ ʔ ⁵³	
Lhota	loth1237	2128	CLAW OR NAIL	13	yiŋ-kyep	106	y i ŋ + k y e p	Naga Lotha
Tujia	nort2732	2128	CLAW OR NAIL	13	kho¹_tha¹	526	kʰ o ¹ _ tʰ a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	2128	CLAW OR NAIL	13	mein³³	315	m e i n ³³	Yintale Karen
Hill-Miri	nyis1236	2128	CLAW OR NAIL	13	leksin	106	l e k s i n	
Pa'O	paok1235	2128	CLAW OR NAIL	13	cu³³_mi³³	315	ts u ³³ _ m i ³³	
W. Kayah	west2409	2128	CLAW OR NAIL	13	kənɔ³³_ba¹¹	391	k ə n ɔ ³³ _ b a ¹¹	Kayah Western
Written Tibetan	tibe1272	2128	CLAW OR NAIL	13	sen_mo	106	s e n _ m o	
Ninglang-Naxi	naxi1245	2128	CLAW OR NAIL	13	_c̣ɨ¹³	106	tʂ ɨ ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	2128	CLAW OR NAIL	13	teme-ʒɨŋ	106	t e m e + ʒ ɨ ŋ	Naga Ao
Garo	garo1247	2128	CLAW OR NAIL	13	jaskil	246	j a s k i l	
Sherpa	sher1255	2128	CLAW OR NAIL	13	ser→muHF	106	s e r + m u	Solu-Khumbu Sherpa
Manu	manu1255	2128	CLAW OR NAIL	13	khɔ⁴⁴_mụ¹¹_b	315	kʰ ɔ ⁴⁴ _ m ṵ ¹¹ _ b	Manumanaw Karen
Yeinbaw	yinb1236	2128	CLAW OR NAIL	13	cə-mị³³	315	ts ə + m ḭ ³³	Yinbaw Karen
Ao-Mongsen	mong1332	2128	CLAW OR NAIL	13	tɨme→cɨ	106	t ɨ m e + ts ɨ	Naga Ao
Burmese	nucl1310	2128	CLAW OR NAIL	13	_sańː	106	s a nːʲ	
Lhasa Tibetan	tibe1272	2128	CLAW OR NAIL	13	sẽ⁵⁵_mo⁵⁵	106	s ẽ ∼ ⁵⁵ _ m o ⁵⁵	
Nishi	nisi1238	1489	CLOUD	14	domə	123	d o m ə	Nisi?
Geker	geko1235	1489	CLOUD	14	đɨʔ⁵³_ʔu⁵³	204	ð ɨ ʔ ⁵³ _ ʔ u ⁵³	Geko Karen?
Geba	geba1237	1489	CLOUD	14	t̯ɛ²²_ṭo²²_b̄	509	ʈ ɛ ²² _ ʈ o ²² _ b̄	
Lijiang-Naxi	lich1241	1489	CLOUD	14	ći³¹	61	tsʲ i ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1489	CLOUD	14	m⁴²_tɛ⁴⁴	546	m ⁴² _ t ɛ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1489	CLOUD	14	muk_pa	123	m u k _ p a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1489	CLOUD	14	t̯a³³_ʔə̃ʔ⁵³	204	ʈ a ³³ _ ʔ ə̃ ∼ ʔ ⁵³	
Lhota	loth1237	1489	CLOUD	14	eloːk	399	e l oː k	Naga Lotha
Tujia	nort2732	1489	CLOUD	14	mɨe³_la¹_ɣoŋ	586	m ɨ e ³ _ l a ¹ _ ɣ o ŋ	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1489	CLOUD	14	kan³³_ʔuŋ⁵⁵	204	k a n ³³ _ ʔ u ŋ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1489	CLOUD	14	dumuk	123	d u m u k	
Pa'O	paok1235	1489	CLOUD	14	mouʔ⁵⁵_ʔe⁴⁴	204	m o u ʔ ⁵⁵ _ ʔ e ⁴⁴	
W. Kayah	west2409	1489	CLOUD	14	ɔ⁵⁵_lɨə̣⁴⁴	204	ɔ ⁵⁵ _ l ɨ ə̰ ⁴⁴	Kayah Western
Written Tibetan	tibe1272	1489	CLOUD	14	sprin	586	s p r i n	
Ninglang-Naxi	naxi1245	1489	CLOUD	14	ći³¹	61	tsʲ i ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1489	CLOUD	14	mepet	369	m e p e t	Naga Ao
Garo	garo1247	1489	CLOUD	14	aram	597	a r a m	
Sherpa	sher1255	1489	CLOUD	14	muk→pɛHF	123	m u k + p ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1489	CLOUD	14	pu²²_u³³_lụ	204	p u ²² _ u ³³ _ l ṵ	Manumanaw Karen
Yeinbaw	yinb1236	1489	CLOUD	14	cə¹¹_ʔvo⁴⁴	204	ts ə ¹¹ _ ʔ v o ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1489	CLOUD	14	cuŋ→miluŋ	172	ts u ŋ + m i l u ŋ	Naga Ao
Yimchunrü	yimc1240	1489	CLOUD	14	yinpɨ	369	y i n p ɨ	Naga Yimchungru
Burmese	nucl1310	1489	CLOUD	14	tim	546	t i m	
Lhasa Tibetan	tibe1272	1489	CLOUD	14	ćĩ⁵⁵_pə⁵⁵	586	tsʲ ĩ ∼ ⁵⁵ _ p ə ⁵⁵	
Kusunda	kusu1250	1489	CLOUD	104	pãj	0	p ã ∼ j	
Nishi	nisi1238	1287	COLD	15	sakkar	589	s a k k a r	Nisi?
Geker	geko1235	1287	COLD	15	khu⁵⁵	210	kʰ u ⁵⁵	Geko Karen?
Geba	geba1237	1287	COLD	15	ʔəʃo³³	125	ʔ ə ʃ o ³³	
Lijiang-Naxi	lich1241	1287	COLD	15	ćhi⁵⁵	589	tsʲʰ i ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1287	COLD	15	tʃho⁵⁵	589	tʃʰ o ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1287	COLD	15	per_bu	477	p e r _ b u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1287	COLD	15	khɨʔ⁵³	210	kʰ ɨ ʔ ⁵³	
Lhota	loth1237	1287	COLD	15	ecak	66	e ts a k	Naga Lotha
Tujia	nort2732	1287	COLD	15	sa²	125	s a ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1287	COLD	15	ʔadʒɛ³³	67	ʔ a dʒ ɛ ³³	Yintale Karen
Hill-Miri	nyis1236	1287	COLD	15	sɨkɨr,_herɨk	589	s ɨ k ɨ r	
Pa'O	paok1235	1287	COLD	15	khwaʔ⁵⁵	210	kʰ w a ʔ ⁵⁵	
W. Kayah	west2409	1287	COLD	15	rọ¹¹	607	r o̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1287	COLD	15	graŋ_mo	589	g r a ŋ _ m o	
Ninglang-Naxi	naxi1245	1287	COLD	15	ʒ̣o³³	589	ʒ o ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1287	COLD	15	temokoŋ	219	t e m o k o ŋ	Naga Ao
Sherpa	sher1255	1287	COLD	15	ṭeŋe_LF	589	ʈ e ŋ e	Solu-Khumbu Sherpa
Manu	manu1255	1287	COLD	15	kəcɔ̣³³	67	k ə ts ɔ̰ ³³	Manumanaw Karen
Yeinbaw	yinb1236	1287	COLD	15	rṿ-we⁵⁵	607	r v̩ + w e ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1287	COLD	15	tɨmukuŋ	219	t ɨ m u k u ŋ	Naga Ao
Yimchunrü	yimc1240	1287	COLD	15	amɨsaŋ	125	a m ɨ s a ŋ	Naga Yimchungru
Burmese	nucl1310	1287	COLD	15	eː	400	eː	
Lhasa Tibetan	tibe1272	1287	COLD	15	ćhəŋ¹³_ŋu⁵⁵	589	tsʲʰ ə ŋ ¹³ _ ŋ u ⁵⁵	
Kusunda	kusu1250	1287	COLD	59	koŋgo	0	k o ŋ g o	
Nishi	nisi1238	1446	COME	16	ha	202	h a	Nisi?
Geker	geko1235	1446	COME	16	le²²_b̄e⁵⁵_jo	183	l e ²² _ b̄ e ⁵⁵ _ j o	Geko Karen?
Geba	geba1237	1446	COME	16	ke³³_b̄ãʔ⁵³	316	k e ³³ _ b̄ ã ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1446	COME	16	lɨ³³,_lə³¹	183	l ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1446	COME	16	lɔ⁴²	183	l ɔ ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1446	COME	16	ʔu	202	ʔ u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1446	COME	16	hɛ⁴⁴	202	h ɛ ⁴⁴	
Lhota	loth1237	1446	COME	16	yi	584	y i	Naga Lotha
Tujia	nort2732	1446	COME	16	ən⁴_ci⁴	527	ə n ⁴ _ ts i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1446	COME	16	ha⁵⁵	202	h a ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1446	COME	16	a-to	202	a + t o	
Pa'O	paok1235	1446	COME	16	lʌn²²	183	l ʌ n ²²	
W. Kayah	west2409	1446	COME	16	hia³³	202	h i a ³³	Kayah Western
Written Tibetan	tibe1272	1446	COME	16	joŋ	202	j o ŋ	
Ninglang-Naxi	naxi1245	1446	COME	16	źu³³	401	zʲ u ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1446	COME	16	aru	584	a r u	Naga Ao
Garo	garo1247	1446	COME	16	re-ba	584	r e + b a	
Sherpa	sher1255	1446	COME	16	gi_LH-	474	g i	Solu-Khumbu Sherpa
Manu	manu1255	1446	COME	16	he¹¹	202	h e ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1446	COME	16	lại³³	183	l a̰ i ³³	Yinbaw Karen
Ao-Mongsen	mong1332	1446	COME	16	ra	584	r a	Naga Ao
Yimchunrü	yimc1240	1446	COME	16	arɨ	584	a r ɨ	Naga Yimchungru
Burmese	nucl1310	1446	COME	16	la	183	l a	
Lhasa Tibetan	tibe1272	1446	COME	16	joŋ¹³	202	j o ŋ ¹³	
Written Tibetan	tibe1272	1446	COME	16	śog	122	sʲ o g	
Lhasa Tibetan	tibe1272	1446	COME	16	śo⁵²	122	sʲ o ⁵²	
Kusunda	kusu1250	1446	COME	93	aga	0	a g a	
Nishi	nisi1238	1494	DIE	17	si	111	s i	Nisi?
Geker	geko1235	1494	DIE	17	ṭɨ⁵⁵	111	ʈ ɨ ⁵⁵	Geko Karen?
Geba	geba1237	1494	DIE	17	ṭi⁴⁴	111	ʈ i ⁴⁴	
Lijiang-Naxi	lich1241	1494	DIE	17	ṣɨ³³	111	ʂ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1494	DIE	17	ʃi⁴²	111	ʃ i ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1494	DIE	17	śi	111	sʲ i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1494	DIE	17	ṭị⁴⁴	111	ʈ ḭ ⁴⁴	
Lhota	loth1237	1494	DIE	17	chhi	111	tʃʰ i	Naga Lotha
Tujia	nort2732	1494	DIE	17	sie³	111	s i e ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1494	DIE	17	ṣɛ³¹	111	ʂ ɛ ³¹	Yintale Karen
Hill-Miri	nyis1236	1494	DIE	17	si	111	s i	
Pa'O	paok1235	1494	DIE	17	si²²	111	s i ²²	
W. Kayah	west2409	1494	DIE	17	ćie³³	111	tsʲ i e ³³	Kayah Western
Written Tibetan	tibe1272	1494	DIE	17	śi	111	sʲ i	
Ninglang-Naxi	naxi1245	1494	DIE	17	ṣɨ³³	111	ʂ ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1494	DIE	17	asɨ	111	a s ɨ	Naga Ao
Garo	garo1247	1494	DIE	17	sia	111	s i a	
Sherpa	sher1255	1494	DIE	17	ši_LF-	111	ʃ i +	Solu-Khumbu Sherpa
Manu	manu1255	1494	DIE	17	si¹¹	111	s i ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1494	DIE	17	θɨ⁴⁴	111	θ ɨ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1494	DIE	17	sɨ	111	s ɨ	Naga Ao
Yimchunrü	yimc1240	1494	DIE	17	še	111	ʃ e	Naga Yimchungru
Burmese	nucl1310	1494	DIE	17	se	111	s e	
Lhasa Tibetan	tibe1272	1494	DIE	17	śi⁵⁵	111	sʲ i ⁵⁵	
Kusunda	kusu1250	1494	DIE	44	oqdzi	0	o q dz i	
Nishi	nisi1238	2009	DOG	18	ikh	288	i kʰ	Nisi?
Geker	geko1235	2009	DOG	18	thwi⁵³	288	tʰ w i ⁵³	Geko Karen?
Geba	geba1237	2009	DOG	18	thwĩʔ⁵³	288	tʰ w ĩ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	2009	DOG	18	khɨ³³	288	kʰ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	2009	DOG	18	khə⁴⁴_jo⁴⁴	288	kʰ ə ⁴⁴ _ j o ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	2009	DOG	18	khu	288	kʰ u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	2009	DOG	18	thwĩʔ⁵³	288	tʰ w ĩ ∼ ʔ ⁵³	
Lhota	loth1237	2009	DOG	18	fhuːrro	288	fʰ uː r r o	Naga Lotha
Tujia	nort2732	2009	DOG	18	xa¹_lie⁴	288	x a ¹ _ l i e ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	2009	DOG	18	thwei³³	288	tʰ w e i ³³	Yintale Karen
Hill-Miri	nyis1236	2009	DOG	18	ki	288	k i	
Pa'O	paok1235	2009	DOG	18	thwi³³	288	tʰ w i ³³	
W. Kayah	west2409	2009	DOG	18	thui⁵⁵	288	tʰ u i ⁵⁵	Kayah Western
Written Tibetan	tibe1272	2009	DOG	18	khji	288	kʰ j i	
Ninglang-Naxi	naxi1245	2009	DOG	18	khv³³	288	kʰ v ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	2009	DOG	18	azɨ	288	a z ɨ	Naga Ao
Garo	garo1247	2009	DOG	18	acak	447	a ts a k	
Sherpa	sher1255	2009	DOG	18	kiHR	288	k i	Solu-Khumbu Sherpa
Manu	manu1255	2009	DOG	18	ʃhi⁴⁴	288	ʃʰ i ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	2009	DOG	18	thwi¹¹	288	tʰ w i ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	2009	DOG	18	ayi	288	a y i	Naga Ao
Yimchunrü	yimc1240	2009	DOG	18	khinu	288	kʰ i n u	Naga Yimchungru
Burmese	nucl1310	2009	DOG	18	khweː	288	kʰ w eː	
Lhasa Tibetan	tibe1272	2009	DOG	18	chi⁵⁵	288	tsʰ i ⁵⁵	
Kusunda	kusu1250	2009	DOG	60	gj	0	g j	
Nishi	nisi1238	1401	DRINK	19	tiːŋ	552	t iː ŋ	Nisi?
Geker	geko1235	1401	DRINK	19	ʔo⁴⁴	463	ʔ o ⁴⁴	Geko Karen?
Geba	geba1237	1401	DRINK	19	ʔɔ⁴⁴	463	ʔ ɔ ⁴⁴	
Lijiang-Naxi	lich1241	1401	DRINK	19	thɨ³¹	552	tʰ ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1401	DRINK	19	tə⁴²	552	t ə ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1401	DRINK	19	ʒ́am	142	ʒʲ a m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1401	DRINK	19	ʔɔ⁴⁴	463	ʔ ɔ ⁴⁴	
Lhota	loth1237	1401	DRINK	19	yu	201	y u	Naga Lotha
Tujia	nort2732	1401	DRINK	19	xu⁴	542	x u ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1401	DRINK	19	ʔɔ⁵⁵	463	ʔ ɔ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1401	DRINK	19	tə	552	t ə	
Pa'O	paok1235	1401	DRINK	19	ʔuaʔ¹¹	463	ʔ u a ʔ ¹¹	
W. Kayah	west2409	1401	DRINK	19	o³³	463	o ³³	Kayah Western
Written Tibetan	tibe1272	1401	DRINK	19	ãthuŋ	552	ã ∼ tʰ u ŋ	
Ninglang-Naxi	naxi1245	1401	DRINK	19	thɨ³¹	552	tʰ ɨ ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1401	DRINK	19	ayoŋ	201	a y o ŋ	Naga Ao
Garo	garo1247	1401	DRINK	19	riŋa	163	r i ŋ a	
Sherpa	sher1255	1401	DRINK	19	thuŋ_LF-	552	tʰ u ŋ +	Solu-Khumbu Sherpa
Manu	manu1255	1401	DRINK	19	ʔɨ¹¹	463	ʔ ɨ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1401	DRINK	19	ʔo⁴⁴	463	ʔ o ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1401	DRINK	19	yuŋ	201	y u ŋ	Naga Ao
Yimchunrü	yimc1240	1401	DRINK	19	youŋ	201	y o u ŋ	Naga Yimchungru
Burmese	nucl1310	1401	DRINK	19	sauk	126	s a u k	
Lhasa Tibetan	tibe1272	1401	DRINK	19	thuŋ⁵⁵	552	tʰ u ŋ ⁵⁵	
Kusunda	kusu1250	1401	DRINK	115	qon	0	q o n	
Nishi	nisi1238	1398	DRY	20	pitəŋ	187	p i t ə ŋ	Nisi?
Geker	geko1235	1398	DRY	20	shei⁵⁵	256	sʰ e i ⁵⁵	Geko Karen?
Geba	geba1237	1398	DRY	20	ʔəxwe⁴⁴	256	ʔ ə x w e ⁴⁴	
Lijiang-Naxi	lich1241	1398	DRY	20	pv³¹	377	p v ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1398	DRY	20	kə³³	256	k ə ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1398	DRY	20	saŋ_ma	317	s a ŋ _ m a	Tawang Monpa, Dakpakha?
Lhota	loth1237	1398	DRY	20	ekhyaŋ	210	e kʰ y a ŋ	Naga Lotha
Tujia	nort2732	1398	DRY	20	a¹_ka⁴__CHIN	10	a ¹ _ k a ⁴ _	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1398	DRY	20	ʔa¹¹_xei³¹	256	ʔ a ¹¹ _ x e i ³¹	Yintale Karen
Hill-Miri	nyis1236	1398	DRY	20	pətə	187	p ə t ə	
Pa'O	paok1235	1398	DRY	20	sɛŋ²²	256	s ɛ ŋ ²²	
W. Kayah	west2409	1398	DRY	20	kra³³	256	k r a ³³	Kayah Western
Written Tibetan	tibe1272	1398	DRY	20	skam_po	243	s k a m _ p o	
Ninglang-Naxi	naxi1245	1398	DRY	20	pv³³	377	p v ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1398	DRY	20	takoŋ	220	t a k o ŋ	Naga Ao
Garo	garo1247	1398	DRY	20	ran-a	604	r a n + a	
Sherpa	sher1255	1398	DRY	20	kam→buHF	243	k a m + b u	Solu-Khumbu Sherpa
Manu	manu1255	1398	DRY	20	khwi¹¹	256	kʰ w i ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1398	DRY	20	ʃhe⁴⁴⁵⁵	256	ʃʰ e ⁴⁴/⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1398	DRY	20	tesuk	74	t e s u k	Naga Ao
Yimchunrü	yimc1240	1398	DRY	20	akuŋ	220	a k u ŋ	Naga Yimchungru
Burmese	nucl1310	1398	DRY	20	khrauk	256	kʰ r a u k	
Lhasa Tibetan	tibe1272	1398	DRY	20	kam⁵⁵_po⁵⁵	243	k a m ⁵⁵ _ p o ⁵⁵	
Kusunda	kusu1250	1398	DRY	3	qaigon	0	q a i g o n	
Nishi	nisi1238	1247	EAR	21	ńuru	558	nʲ u r u	Nisi?
Geker	geko1235	1247	EAR	21	nəkəɨ⁴⁴	299	n ə k ə ɨ ⁴⁴	Geko Karen?
Geba	geba1237	1247	EAR	21	kəniʔ⁵³_k̯u³³	299	k ə n i ʔ ⁵³ _ kʲ u ³³	
Lijiang-Naxi	lich1241	1247	EAR	21	χe³³_cɨ³¹	403	χ e ³³ _ ts ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1247	EAR	21	nha³³_kho⁵⁵	558	nʰ a ³³ _ kʰ o ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1247	EAR	21	rna	12	r n a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1247	EAR	21	nạ⁵³	558	n a̰ ⁵³	
Lhota	loth1237	1247	EAR	21	enno	558	e n n o	Naga Lotha
Tujia	nort2732	1247	EAR	21	ən⁴_ćhie³	558	ə n ⁴ _ tsʲʰ i e ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1247	EAR	21	na³³_kau⁵⁵	299	n a ³³ _ k a u ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1247	EAR	21	ńiru	558	nʲ i r u	
Pa'O	paok1235	1247	EAR	21	na⁵⁵_la³³	558	n a ⁵⁵ _ l a ³³	
W. Kayah	west2409	1247	EAR	21	kha³³_lɛ¹¹_kɨ	299	kʰ a ³³ _ l ɛ ¹¹ _ k ɨ	Kayah Western
Written Tibetan	tibe1272	1247	EAR	21	rna	558	r n a	
Ninglang-Naxi	naxi1245	1247	EAR	21	łi⁵⁵_pi³¹_EE	403	ɬ i ⁵⁵ _ p i ³¹ _	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1247	EAR	21	tena→roŋ	558	t e n a + r o ŋ	Naga Ao
Garo	garo1247	1247	EAR	21	nacil	558	n a ts i l	
Sherpa	sher1255	1247	EAR	21	nam→ǯokHF	558	n a m + dʒ o k	Solu-Khumbu Sherpa
Manu	manu1255	1247	EAR	21	nɔ̣³³_kụ¹¹	299	n ɔ̰ ³³ _ k ṵ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1247	EAR	21	ŋ⁵⁵_kụ⁵⁵	299	ŋ ⁵⁵ _ k ṵ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1247	EAR	21	tena→roŋ	558	t e n a + r o ŋ	Naga Ao
Yimchunrü	yimc1240	1247	EAR	21	nɨ→khɨn	558	n ɨ + kʰ ɨ n	Naga Yimchungru
Burmese	nucl1310	1247	EAR	21	naː	558	n aː	
Lhasa Tibetan	tibe1272	1247	EAR	21	am⁵⁵_ćo⁵²	558	a m ⁵⁵ _ tsʲ o ⁵²	
Yimchunrü	yimc1240	1247	EAR	21	nɨ→khɨn	299	n ɨ + kʰ ɨ n	Naga Yimchungru
Kusunda	kusu1250	1247	EAR	154	iw	0	i w	
Nishi	nisi1238	1228	EARTH (SOIL)	22	geda,_kede	289	g e d a	Nisi?
